index,totalseconds,Pre_nuts_attitude,Senario,Impression_of_host_or_comments,Halo_or_Bandwagon_effect_feedback,After_nuts_attitude,Buying_intention,Recallofproductonsalefeedback,Retestofpreferenceontheproduct,Recallofhostimagedirectionoflivecomments,Eventuallydoyouliketheproduct,Doyouagreetobuyeventually,Gender,Age,Monthlyincome,totalvalue
424,184,5,4,7,6,4,7,3,5,4,7,3,2,3,3,44
426,99,5,4,5,5,7,4,3,7,2,6,6,2,3,4,45
427,113,4,4,7,7,7,7,3,5,2,6,4,1,7,2,47
434,111,6,4,5,5,7,6,3,6,2,7,5,2,4,6,47
442,157,6,4,7,4,7,6,3,7,4,6,4,1,5,5,47
449,139,5,4,5,6,6,6,3,6,2,6,5,1,7,1,45
450,129,6,4,6,6,6,7,3,6,2,6,1,1,1,1,44
453,111,5,4,6,6,6,7,3,7,2,4,1,2,4,3,42
463,193,6,4,7,6,4,7,3,5,2,6,3,2,3,3,44
466,91,5,4,7,7,7,4,3,6,2,6,6,1,2,2,48
493,162,2,4,6,5,7,6,3,1,4,7,1,1,7,3,35
495,193,6,4,5,6,7,6,3,5,2,4,4,1,2,3,43
496,105,5,4,6,5,6,7,3,6,2,6,1,1,2,2,42
519,180,6,4,7,6,6,5,3,4,2,7,4,1,7,3,45
520,141,7,4,7,6,5,4,3,4,2,4,4,1,3,3,41
523,182,5,4,7,5,4,4,3,7,2,6,1,1,3,3,39
535,99,7,4,7,5,7,7,3,4,2,7,1,2,3,3,45
536,95,5,4,6,5,4,5,3,7,2,6,4,1,2,3,42
540,104,5,4,6,5,7,7,3,4,2,6,3,2,3,4,43
581,135,1,4,5,5,4,6,3,1,2,3,4,2,7,7,29
590,164,5,4,7,5,6,4,3,7,2,4,5,2,2,2,43
592,184,1,4,5,5,7,6,3,2,2,4,1,2,7,2,31
599,172,7,4,7,5,6,5,3,5,2,4,1,1,1,1,40
600,135,6,4,7,5,7,7,3,7,4,5,2,2,1,1,46
39,60,7,4,7,1,7,7,3,7,3,7,7,1,5,2,50
45,49,6,4,6,4,6,6,3,6,3,5,6,1,4,1,45
46,30,6,4,6,6,6,5,3,5,3,5,5,2,5,2,44
58,24,7,4,7,7,7,7,3,7,1,7,7,1,4,2,56
68,48,7,4,7,1,7,7,3,7,4,7,7,1,5,2,50
73,81,6,4,5,6,6,6,3,6,3,6,6,1,5,2,47
81,36,6,4,6,5,4,5,3,5,3,6,6,2,5,2,43
86,69,5,4,5,4,4,4,3,5,3,5,5,2,5,2,37
127,81,6,4,6,6,6,6,3,6,3,6,6,1,6,1,48
131,74,4,4,6,6,5,5,3,5,3,5,5,2,5,2,41
146,106,7,4,7,7,7,7,3,7,1,7,7,2,7,1,56
153,110,5,4,6,6,6,6,3,6,1,5,5,2,6,2,45
162,102,4,4,5,5,6,3,3,3,4,3,5,1,7,2,34
179,44,7,4,7,1,7,7,3,7,1,7,7,2,4,2,50
9,135,1,4,7,5,7,4,3,1,3,7,5,2,5,5,37
19,131,5,4,7,5,4,5,3,6,3,5,6,1,2,3,43
38,202,5,4,5,6,4,7,3,7,3,6,2,2,7,2,42
47,95,5,4,5,5,5,4,3,7,3,7,1,1,6,3,39
52,167,3,4,7,4,7,7,3,4,3,7,1,2,2,3,40
61,115,6,4,6,7,4,5,3,5,3,4,5,1,7,1,42
75,130,6,4,5,6,5,4,3,6,4,4,5,2,1,1,41
79,105,5,4,5,6,7,5,3,5,3,4,5,2,4,3,42
91,137,4,4,6,5,7,6,3,7,3,4,5,1,1,1,44
94,166,6,4,5,2,2,2,3,7,4,2,5,2,4,5,31
110,164,7,4,6,4,5,5,3,7,3,6,5,1,7,1,45
114,167,6,4,7,4,5,6,3,7,3,4,3,1,2,2,42
119,104,6,4,5,6,4,6,3,6,3,4,3,1,2,3,40
147,87,6,4,5,6,6,6,3,7,3,7,4,1,3,3,47
155,89,6,4,7,6,6,7,3,6,4,6,4,1,3,3,48
219,159,6,4,7,5,7,7,3,2,4,7,1,1,1,1,42
240,86,6,4,7,6,5,6,3,7,3,6,1,2,3,3,44
263,147,5,4,6,5,7,4,3,6,3,7,1,1,3,3,41
268,153,4,4,5,5,4,7,3,5,3,7,1,2,7,4,38
292,113,5,4,7,5,4,5,3,5,3,6,6,1,7,2,43
316,101,6,4,5,4,5,5,3,4,4,2,3,1,3,3,34
399,171,5,4,7,6,7,6,3,7,3,6,1,2,7,3,45
412,124,5,4,7,6,5,6,3,6,3,7,5,2,2,2,47
432,142,7,4,6,6,5,4,3,5,3,6,4,1,2,2,43
443,173,3,4,7,5,5,4,3,4,3,4,2,2,2,2,34
468,166,5,4,7,5,6,6,3,7,3,6,1,2,1,1,43
482,178,6,4,5,5,7,7,3,5,3,4,1,2,2,3,40
486,125,5,4,6,5,7,4,3,6,3,7,4,1,3,3,44
488,129,3,4,5,7,7,5,3,4,3,4,7,1,7,3,42
491,161,6,4,5,5,4,6,3,5,4,5,4,1,7,3,40
501,155,5,4,6,5,7,5,3,7,3,4,6,2,6,7,45
513,174,1,4,7,5,7,4,3,1,3,7,5,2,1,1,37
517,161,2,4,6,5,4,6,3,1,3,7,1,2,7,1,32
568,185,4,4,7,6,5,7,3,2,4,4,5,1,2,2,40
